question,answer,category,tags,priority
Datadog Mule Integration: Activation and Configuration Guide - New customers need guidance on how to configure and activate their newly purchased Datadog Mule Integration.,"Problem: New customers need guidance on how to configure and activate their newly purchased Datadog Mule Integration.

Resolution: 1. Customers should review the Datadog Mule Integration configuration process at https://docs.ioconnectservices.com/
2. To activate the product, customers need to provide their MuleSoft Anypoint Master Organization ID.
3. Instructions for obtaining the Organization ID can be found at: https://help.mulesoft.com/s/article/How-to-know-my-Organization-ID-Org-ID-on-the-Anypoint-Platform
4. For any questions or assistance, customers can contact support at support_ddp@ioconnectservices.com.",datadog-mulesoft,"activation,configuration,integration,mulesoft,datadog",low
Datadog Mule Integration Activation Process - New customers need guidance on how to activate and configure the Datadog Mule Integration after purchase.,"Problem: New customers need guidance on how to activate and configure the Datadog Mule Integration after purchase.

Resolution: 1. Review the configuration documentation at https://docs.ioconnectservices.com/
2. Provide the MuleSoft Anypoint Master Organization ID to IO Connect Services.
3. To find the Organization ID, refer to: https://help.mulesoft.com/s/article/How-to-know-my-Organization-ID-Org-ID-on-the-Anypoint-Platform
4. For any questions, contact support at support_ddp@ioconnectservices.com",datadog-mulesoft,"activation,configuration,integration,mulesoft,datadog",low
"Datadog Mule Integration: Supported Features and Requirements - A customer inquired about the minimum requirements needed to integrate Datadog metrics with Mulesoft, specifically for a Mulesoft Appliance RTF version 1.13.91 environment.","Problem: A customer inquired about the minimum requirements needed to integrate Datadog metrics with Mulesoft, specifically for a Mulesoft Appliance RTF version 1.13.91 environment.

Resolution: The Datadog Mule Integration offers two types of metrics:

1. Infrastructure metrics from the Anypoint Platform
2. Application metrics via the Datadog APM connector for Mule 4 applications

For application metrics and APM:
- Fully supported in any Mule 4 application
- Requirements can be found at: https://docs.ioconnectservices.com/dmi/installation#prerequisites
- Datadog APM connector documentation: https://docs.ioconnectservices.com/mule-apm-connector

For Mulesoft Appliance RTF:
- Currently not supported
- A release supporting infrastructure metrics from RTF is planned, but no specific date is available

It's important to note that while application metrics and APM are fully supported for Mule 4 applications, the specific RTF version mentioned (1.13.91) is not currently supported for infrastructure metrics.",datadog-mulesoft,"integration,mulesoft,datadog,deployment,network",low
Datadog Mule Integration Configuration and Activation - Customers who have recently purchased the Datadog Mule Integration need guidance on how to configure and activate the product.,"Problem: Customers who have recently purchased the Datadog Mule Integration need guidance on how to configure and activate the product.

Resolution: 1. Learn about the Datadog Mule Integration configuration process by visiting the documentation at https://docs.ioconnectservices.com/
2. To activate the product, provide your MuleSoft Anypoint Master Organization ID. You can find instructions on how to obtain this ID at https://help.mulesoft.com/s/article/How-to-know-my-Organization-ID-Org-ID-on-the-Anypoint-Platform
3. If you have any questions, contact support at support_ddp@ioconnectservices.com",datadog-mulesoft,"activation,configuration,integration,mulesoft,datadog",low
How to Retrieve API Key and Customer Key for Integration Configuration - Users are unable to configure the integration due to missing api_key and customer_key parameters.,"Problem: Users are unable to configure the integration due to missing api_key and customer_key parameters.

Resolution: To retrieve the api_key and customer_key:

1. API Key (api_key):
   - Log in to your Datadog account.
   - Navigate to 'Organization Settings' > 'API Keys'.
   - You can either use an existing API key or create a new one by clicking 'New Key'.
   - Copy the generated API key.

2. Customer Key (customer_key):
   - Provide your Mulesoft Anypoint Master Organization ID to Nova via email to support_ddp@ioconnectservices.com
   - Nova will generate a unique customer_key for your organization

Once you have both keys, you can use them to configure the integration in the Datadog Mulesoft Integration conf.yaml. Ensure you keep these keys secure and do not share them publicly.",datadog-mulesoft,"activation,configuration,integration,mulesoft,datadog",medium
MuleSoft Anypoint Master Organization ID Required for Datadog Mule Integration - New customers who have purchased the Datadog Mule Integration need to know what information is required to start using the integration.,"Problem: New customers who have purchased the Datadog Mule Integration need to know what information is required to start using the integration.

Resolution: The customer needs to provide their MuleSoft Anypoint Master Organization ID. This can be found by following the documentation link provided: https://help.mulesoft.com/s/article/How-to-know-my-Organization-ID-Org-ID-on-the-Anypoint-Platform. Once the Organization ID is provided, the integration can be activated.",datadog-mulesoft,"activation,integration,mulesoft,datadog",low
Configuring Datadog Mulesoft Integration - API Key and Customer Key - Customers are unsure about the correct configuration of API keys and customer keys when setting up the Datadog Mulesoft Integration.,"Problem: Customers are unsure about the correct configuration of API keys and customer keys when setting up the Datadog Mulesoft Integration.

Resolution: 1. The API_key is not needed in the YAML configuration file. Users should either comment out the api_key line with '#' or remove it entirely.
2. The customer_key is required and should be included in the configuration. The customer_key provided in this case is: 1zeskHCevo/BKfxhY6LK/ekOe/ZwWUzdJ9+Skae7jKA=
3. To activate the product, customers need to provide their MuleSoft Anypoint Master Organization ID. This can be obtained by following the instructions at: https://help.mulesoft.com/s/article/How-to-know-my-Organization-ID-Org-ID-on-the-Anypoint-Platform
4. For further information on the Datadog Mule® Integration configuration process, customers can refer to the documentation at: https://docs.ioconnectservices.com/
5. If customers have any questions, they can contact support at support_ddp@ioconnectservices.com.",datadog-mulesoft,"activation,configuration,integration,mulesoft,datadog",low
Using Datadog's Containerized Agent with Mulesoft Integration in ECS Fargate - A customer who has previously used Datadog's Mulesoft integration is moving to ECS Fargate and wants to know if they can still use the Datadog containerized agent while leveraging the Mulesoft integration in this new environment.,"Problem: A customer who has previously used Datadog's Mulesoft integration is moving to ECS Fargate and wants to know if they can still use the Datadog containerized agent while leveraging the Mulesoft integration in this new environment.

Resolution: The requirements for this to run are to install a Datadog Agent and then this plugin in the Datadog agent running. The plugin does not support running in containers. 
 
For the plugin to run, it requires a server with access to install the plugin, it can be a server like an AWS EC2, Azure VMs and/or a server in the cloud or on premises.",datadog-mulesoft,"integration,mulesoft,datadog,deployment,network",medium
Containerized Mule Applications and Datadog Integration - A customer has moved their Mule applications to ECS Fargate and is asking if they can use Datadog's containerized agent while still leveraging the Mulesoft integration.,"Problem: A customer has moved their Mule applications to ECS Fargate and is asking if they can use Datadog's containerized agent while still leveraging the Mulesoft integration.

Resolution: The requirements for this to run are to install a Datadog Agent and then this plugin in the Datadog agent running. The plugin does not support running in containers. 
 
For the plugin to run, it requires a server with access to install the plugin, it can be a server like an AWS EC2, Azure VMs and/or a server in the cloud or on premises",datadog-mulesoft,"integration,mulesoft,datadog,network",medium
Datadog Mulesoft Integration with Containerized Environments (ECS Fargate) - A customer has moved their Mulesoft environment from EC2 to ECS Fargate and is inquiring about the possibility of using Datadog's containerized agent while still leveraging the Mulesoft integration. The customer is using Cloudhub 2.0 (SaaS) version of Mulesoft and has previously configured the ioconnect agent on a Linux EC2 instance during their PoC.,"Problem: A customer has moved their Mulesoft environment from EC2 to ECS Fargate and is inquiring about the possibility of using Datadog's containerized agent while still leveraging the Mulesoft integration. The customer is using Cloudhub 2.0 (SaaS) version of Mulesoft and has previously configured the ioconnect agent on a Linux EC2 instance during their PoC.

Resolution: Currently, IO Connect Services is working on adding support for containerized deployment models through Runtime Fabric (RTF) and is close to releasing this feature. For the specific case of ECS Fargate:

1. The current Datadog Mulesoft integration doesn't have official support for containerized environments like ECS Fargate.

2. For customers transitioning from EC2 to ECS Fargate:
   - In the meantime, customers can consult with IO Connect Services for potential workarounds.

3. For the integration to run, it requires a server with access to install the plugin, it can be a server like an AWS EC2, Azure VMs and/or a server in the cloud or on premises.",datadog-mulesoft,"activation,configuration,integration,mulesoft,datadog",medium
