question,answer,category,tags,priority
What is Datadog APM Connector and how does it work?,Datadog APM Connector OVERVIEW The Datadog APM Connector for Mule 4 applications helps to instrument Mule 4 applications either running on CloudHub or on-premises. In the Datadog APM Connector you will find: The Datadog Mule Integration 4 APM (DMI4APM) enhances the monitoring capabilities of your Mule applications by seamlessly integrating with Datadog's APM system. Our solution extends the functionality of Datadog's APM connector by adding Mule-specific operations that encapsulate application flows. These operations not only capture and send trace data to Datadog APM but also facilitate the propagation of these traces across Mule applications and APIs.,datadog-mulesoft-docs,"datadog,mulesoft,documentation,overview,apm,connector",high
What is CloudWatch Mule Integration and how does it work?,CloudWatch Mule Integration OVERVIEW Overview CloudWatch Mule Integration is an agent-based integration that collects metrics from MuleSoft products and uploads them onto Amazon CloudWatch. In the CloudWatch Mule Integration bundle you will find: 120+ You can use these metrics to take advantage of the out-of-the-box dashboards and monitors or you can create your own visualizations.,datadog-mulesoft-docs,"datadog,mulesoft,documentation,overview,cloudwatch,dashboard",high
How do I configure the service for CLOUDWATCH MULE INTEGRATION - Configuration | The Service?,"CLOUDWATCH MULE INTEGRATION - Configuration | The Service The service user permissions CloudWatch Mule Integration requires specific permissions on the MuleSoft Anypoint Platform to collect metrics. There are some common permissions that must be granted to be able to execute any API and others, specific, used by one or few APIs. - ### Exchange API : o Exchange Administrator This is only required to read data from Exchange. CloudWatch Mule Integration does not modify any asset. - #### CloudHub: o CloudHub Organization Admin This is only required to read data from CloudHub. CloudWatch Mule Integration does not modify any asset. o Read Alerts - #### ARM Rest Services o Read Applications o Read Servers - #### Access Management: o View Organization - ARM Monitoring Query: - #### Object Store: o Manage Application Data o Manage stores data - #### Object Store V2 Stats: o An administrator user This is only required to read data from Object Store V2 statistics. CloudWatch Mule Integration does not modify any asset. If these metrics are not desired, make sure you comment out this entry in the configuration file in instances. The integration does not modify in any manner the assets in Anypoint Platform , those permissions are for read-only. Full example Below is a complete configuration example (with fake credentials and ids): ```yaml init_config: hosts: anypoint: https://anypoint.mulesoft.com object_store_v2: https://object-store-us-east-1.anypoint.mulesoft.com object_store_v2_stats: https://object-store-stats.anypoint.mulesoft.com mule_server: http://localhost:9999 oauth_provider: https://anypoint.mulesoft.com/accounts/api/v2/oauth2/token client_id: 035715123cbc31a1234a43143213f3 client_secret: bAc2345678C34aFB1A12f5A245678 env_id: a3cc1234-4a24-125b-1a45-1c1aa13cad org_id: ac2345aa-cc13-1367-bca1-b12aa4aa api_key: 548f-1s52-2d5f4f4ed customer_key: a6a6-b5e854e5 connection_wait_time: 2 connection_attempts_num: 3 instances: min_collection_interval: 86400 threads: 32 api_filter: access_management min_collection_interval: 10 threads: 32 api_filter: arm_monitoring_query min_collection_interval: 10 threads: 32 api_filter: arm_mule_agent min_collection_interval: 10 threads: 32 api_filter: arm_rest_services min_collection_interval: 10 threads: 32 api_filter: cloudhub min_collection_interval: 86400 threads: 32 api_filter: exchange_experience min_collection_interval: 60 threads: 32 api_filter: insight min_collection_interval: 86400 threads: 32 api_filter: object_store min_collection_interval: 86400 threads: 32 api_filter: object_store_v2_stats ```",datadog-mulesoft-docs,"datadog,mulesoft,documentation,configuration,cloudwatch,monitoring",high
How do I configure CLOUDWATCH MULE INTEGRATION - Configuration?,"CLOUDWATCH MULE INTEGRATION - Configuration Note: NOVA was formerly known as IO Connect Services. URLs in this document still reference the ioconnectservices.com domain for technical compatibility. The CloudWatch Mule Integration is a CloudWatch custom integration and it is configured through a conf.yml file located at /home/cmi- agent/iocs/conf/conf.yml in Linux systems The configuration in the conf.yml is divided into two parts: - init_config: A common part used by all the executions - instances A list of instances to be scheduled independently init_config This section contains the common configuration used by all the instance executions. It contains the following configurations: - hosts: Grouping of all the hosts' definitions needed to read the metrics out of the Anypoint Platform. Some hosts are specific to some APIs, if so, it is specified in the description: - anypoint: The Anypoint server host URL. It is preconfigured with https://anypoint.mulesoft.com but it could be different for EU or GOV Mule Regions, see https://docs.mulesoft.com/access-management/managing-users#prerequisites - object_store_v2: Object Store V2 server host URL. See https://docs.mulesoft.com/object-store/osv2-apis for the full list of available hosts. This host definition is used by the Object Store API. Example value: https://object-store-us-east-1.anypoint.mulesoft.com - Object Store V2: Object Store V2 Stats API. It is preconfigured with https://object-store-stats.anypoint.mulesoft.com - mule_server: This is the URL or IP address of the server where a Mule Runtime with the Mule Agent is running. The MULE_SERVER host definition is utilized by the ARM APIs. For example, the value might be http://localhost:9999. - auth_provider: This is the OAuth Provider URL responsible for obtaining a Bearer token used for making requests to all the APIs. By default, it is preconfigured with https://anypoint.mulesoft.com/accounts/api/v2/oauth2/token. However, please note that it might differ for EU or GOV Mule Regions. For specific configurations in these regions, refer to the documentation at link to documentation, see https://docs.mulesoft.com/access-management/managing-users#prerequisites - username: The user name for the authentication API - aws_secret_name: The AWS Secret Manager Name where the password for the authentication API is stored. - env_id: The Environment ID for environment-specific requests - org_id: The Organization ID for the requests that require to specify it - api_key:The API key provided when you purchased the product - customer_key: The Customer key provided when you purchased the product - connection_wait_time: The number of seconds that authentication method will wait until the next retry. If not specified it defaults to 2 - connection_attempts_num: The number of retry attempts that the authentication method will perform. If not specified it defaults to 3 - In the Full Example section, there is an example of a configuration file with all the values configured. instances This section contains a list of instances defined following the YAML list item notation -. Each instance is scheduled independently to run a set of APIs with a specific threads number configuration. Each instance contains the following configurations: - min_collection_interval: The time in seconds between executions. If not specified it defaults to 15 seconds - threads: The number of allowed parallel threads running the instance - api_filter: If not specified, all the APIs are executed, otherwise it must contain a list of APIs to run within the instance following the YAML list item notation In the Full Example section, there is an example of a configuration file with a list of instances. The example is taken directly from the conf.yml file distributed with the integration and contains the optimum numbers we recommend for almost any scenario for min_collection_interval and threads. The metric collection of any instance can be disabled at any time by commenting out the whole instance. This means, commenting on the two attributes mentioned above. Configuration process The instances section contains a list of instances that were set to a periodicity and concurrency level according to each API-provided information. Even if all these values can be changed, we recommend just go with the defaults. The main configuration parameters to pay attention to are: - object_store_v2. - mule_server - username - aws_secret_name. - env_id. - org_id. - api_key - customer_key. For EU or GOV Mule Regions, the anypointand oauth_provider should be changed too. See https://docs.mulesoft.com/access-management/managing- users#prerequisites Configuration | The Service>",datadog-mulesoft-docs,"datadog,mulesoft,documentation,configuration,cloudwatch",high
How do I configure CLOUDWATCH MULE INTEGRATION - Customization | General?,"CLOUDWATCH MULE INTEGRATION - Customization | General General This section contains only general information on the configuration settings. - Customer Key: This is the activation key of the product. Itâs granted by NOVA when purchasing the product and activating it for the first time. Anypoint Information This section contains information about the Anypoint Platform. - User name : The user created in Anypoint Platform with privileges to collect metrics from the different products. - AWS Secret Name : The name of the key created at deployment time where the userâs password is securely stored in AWS Secrets Manager. - Organization Id : The Id of the Anypoint Organization. To know this value, read the official MuleSoft documentation https://docs.mulesoft.com/access-management/organization#manage-master-organization-settings - Environment Id : The Id of the target environment in Anypoint. To know this value, read this official article from MuleSoft https://help.mulesoft.com/s/article/How-to-get-the-Environment-ID - Anypoint URL : The Anypoint server host URL. It is preconfigured with https://anypoint.mulesoft.com but it could be different for EU or GOV Mule Regions, see https://docs.mulesoft.com/access-management/managing-users#prerequisites. - Object Store V2 URL : The Specific Region Object Store V2 server host URL. See https://docs.mulesoft.com/object-store/osv2-apis for the full list of available hosts. This host definition is used by the Object Store API. Example value: https://object-store-us-east-1.anypoint.mulesoft.com. - Object Store stats URL : The Object Store V2 Stats server host URL. This host definition is used by the Object Store V2 Stats API. It is preconfigured with https://object-store-stats.anypoint.mulesoft.com. - OAuth v2 URL : The OAuth v2 Provider URL allows obtaining a Bearer token used to make requests to all the APIs. It is preconfigured with https://anypoint.mulesoft.com/accounts/api/v2/oauth2/token but it could be different for EU or GOV Mule Regions, see https://docs.mulesoft.com/access-management/managing-users#prerequisites - Basic Auth URL : The URL to do basic authentication to make requests to all the APIs. It is preconfigured with https://anypoint.mulesoft.com/accounts/login but it could be different for EU or GOV Mule Regions, see https://docs.mulesoft.com/access-management/managing-users#prerequisites - On-prem Mule Server URL : The URL or IP of the Server running a Mule Runtime with the Mule Agent. This host definition is used by the ARM APIs Example value: http://localhost:9999 MuleSoft Products This section covers what are the MuleSoft products from which the CloudWatch Mule Integration agent will collect metrics. - API filter : This is the MuleSoft product that will be enabled. Pick one from the drop-down list. - Number of threads : This shows an explanation below the control. Specifies the number of threads used to collect metrics from this specific product. Use this setting to tune the performance of the metrics collection. - Frequency (seconds) : The frequency at which this agent will trigger the metric collection for this MuleSoft product. It is specified in seconds. To add more products to the list of managed products for this CloudWatch Mule Integration agent, click on the Add button at the bottom of the section. To remove a product from the list of managed products, click on the Remove button. Advanced Settings This section contains settings that will be updated only under specific circumstances. - Connection wait timeout (s) : The number of seconds that the authentication method will wait until the next retry. If not specified it defaults to 2 seconds. - Connection attempts : The number of retry attempts that the authentication method will perform. If not specified it defaults to 3 attempts. - Proxy user : The user name of the proxy if the instance where the CloudWatch Mule Integration agent is deployed is behind a secured proxy. - Proxy password : The password of the user of the proxy if the instance where the CloudWatch Mule Integration agent is deployed is behind a secured proxy. - Proxy HTTP URL: The IP address or hostname of the proxy server. This control is used if the proxy is used for HTTP only. - Proxy HTTPS URL: The IP address or hostname of the proxy server. This control is used if the proxy is used for HTTPS only. - No proxy domains : The domains that are not required to go through a proxy. It skips the proxy routing. Troubleshooting The web application is not running To diagnose that the application is not running, you need to SSH into the EC2 instance where it is supposed to be running. In the command line, use the following command to make sure the process is not running. ```yaml $ ps -ef | grep ""com.ioconnectservices.cmi.web.CmiSettingsWebAppApplication"" ``` If the command above does not return a valid process, then it might be down. Use the following command to start it. ```yaml $ sudo -u cmi-agent java -Dconf.file.location=""/home/cmi-agent/iocs/conf/conf.yml"" -jar ""/home/cmi-agent/iocs/cmi/cmi-settings-web-app-1.0.0.jar"" ""com.ioconnectservices.cmi.web.CmiSettingsWebAppApplication"" ``` To test the process open a web browser and go to the settings web application http://:8080/settings The web application is not storing any new settings Make sure that the user that runs the web application process has write permissions over the conf.yaml file. By default, both file and Java processes are run with the cmi-user user.",datadog-mulesoft-docs,"datadog,mulesoft,documentation,configuration,cloudwatch,troubleshooting",high
How do I configure CloudWatch Mule Integration - Customization?,"CloudWatch Mule Integration - Customization Note: NOVA was formerly known as IO Connect Services. URLs in this document still reference the ioconnectservices.com domain for technical compatibility. The instances property in conf.yml enables customization of metric collection by the agent, allowing for manual load balancing across different instances. This feature lets you tailor data gathering for CloudHub and On-Prem apps, focusing on specific metrics like CPU, memory, and networking at desired rates without overloading the agent. For example, to monitor these metrics through the ""Development: Optimizations"" dashboards without taxing the agent on resource allocation metrics, you can adjust the configuration accordingly to meet your monitoring needs. yaml instances: - min_collection_interval: 172800 threads: 32 api_filter: - access_management - min_collection_interval: 10 threads: 32 api_filter: - cloudhub With the above example, you are running two isolated executions of our metric reader program, if you have a scenario where customization of API calls is needed you can refer to the configuration section to locate the configuration YAML file and set your configuration properly. Once done, you only need to restart the agent to load the new configuration and that's it you will now have a customized agent. Customize the settings with the UI The CloudWatch Mule Integration comes with a bundled web application to assist in the customization of the settings in a graphical user interface, rather than modifying the configuration YAML file directly. System architecture Bundled with the CloudWatch Mule Integration, the web application follows the same system architecture. The web application uses a plain HTTP connection, meaning it is not encrypted and the information travels in plain text. It's very important to access this web application in a trusted network, typically, with a VPN. The web application listens to port 8080, and the URL to access it is http://:8080/settings Where is the IP address or hostname of the EC2 instance where the CloudWatch Mule Integration is running. Installation This web application comes bundled with the CloudWatch Mule Integration. Follow steps in NOVA/cmi/installation Customization This web application is a user interface for the conf.yaml file used by the CloudWatch Mule Integration agent to configure the execution and collection of metrics. See the definition of each field in the configuration. The UI is divided into sections: - General - Anypoint Information - MuleSoft Products - Advanced settings Make sure you save all changes by clicking on the Save button at the bottom of the page. Once the changes are saved, restart the agent. NOTE: Make sure to restart the agent in the command line. Otherwise, the changes won't take effect.",datadog-mulesoft-docs,"datadog,mulesoft,documentation,configuration,cloudwatch,dashboard",high
How do I configure CLOUDWATCH MULE INTEGRATION - Installation?,"CLOUDWATCH MULE INTEGRATION - Installation The CloudWatch Mule Integration is obtained when you subscribe to the AWS CloudWatch Mulesoft Integration. This will deliver an AMI and a CloudFormation template with all the new to Monitoring Anypoint Metrics into AWS CloudWatch The AMI contains Ubuntu Server 20.04 LTS Java 11 Stable. CMI Assets CMI daemon script CMI Agent JSVC cmi-agent-role (Role with custom policy) Settings Web App Installation process 1. Subscribe to theAWS Marketplace* - *Go to this linkMarketplace link and login with your credentials, Search for the *AWS CloudWatch Mulesoft Integration*and subscribe. 2. CloudFormation Template - Once subscribe you will receive a cloudFormation template. In this template, the resources created are an EC2 instance and a security group. This template requires the user to provide the following parameters: - Authentication API - Username - Password - Environment ID - Organization ID - Customer Key - EC2 Configuration - Instance Type - Key Pair - VPC ID - Subnet ID - CIDR IP Range for SSH - CIDR IP Range for Web App - Deployment Environment - Deployment Environment (dev, qa, prod, etc)",datadog-mulesoft-docs,"datadog,mulesoft,documentation,configuration,cloudwatch,monitoring",high
What do I need to know about CLOUDWATCH MULE INTEGRATION - OOTB Assets | Operations?,"CLOUDWATCH MULE INTEGRATION - OOTB Assets | Operations Those widgets work by selecting the time range and the right variables located at the top: _Pro-tip : _Configure the MuleSoft organization and environment identifiers and save the view. Operations: Infrastructure The dashboard has two sections: SECTION CLOUDHOUB: Shows resource usage by application: - Memory used - Memory percentage - CPU usage - CPU percentage - Network in and out - Message queue and Inflight SECTION ON-PREMISE: Shows resource usage by target and machine: - Memory used - Memory percentage (base 256 MB) - CPU used - Network in and out COMMON SECTION: - Applications stopped It works similar to the dashboard mentioned before, you must select the variables values and time range as needed: Operations: Resources allocation and usage This dashboard presents the resources available and used of your infrastructure per main organization. The dashboard is divided into six sections: SECTION 1. ORGANIZATION VCORES: It displays the VCores assigned and reassigned per organization, also has a subsection that shows: - vCores used by environments - vCores reassigned per suborganization - VPNs usage - VPCs usage - Load Balancers usage - Static IPs usage SECTION 2. RESOURCES USAGE The next sections include a table that contains resource allocation by organization name, resources reassigned and assigned. - Organization VPNs - Organization VPCs - Organization Load Balancers - Organization Static IPs SECTION 3. RESOURCE RE-ALLOCATION Resources from Anypoint Platform in an organization can be reassigned to a sub-organization. The next collapsible sections show how these resources are reassigned to sub-organizations. Operations: APIs Total Requests Total Request Size Total Response Size Average Response Total Failed Requests 1xx & 3xx Total Failed Requests 4xx Total Failed Requests 5xx Development: Optimizations The dashboard displays basic information about CloudHub applications and On- Premise servers. It is divided into CloudHub and On-Premise sections that shows: - CPU used - Memory used - Network in and out",datadog-mulesoft-docs,"datadog,mulesoft,documentation,integration,cloudwatch,dashboard",high
What do I need to know about CLOUDWATCH MULE INTEGRATION - OOTB Assets?,"CLOUDWATCH MULE INTEGRATION - OOTB Assets Note: NOVA was formerly known as IO Connect Services. URLs in this document still reference the ioconnectservices.com domain for technical compatibility. CloudWatch Mule Integration offers seven dashboards and thirteen monitors for comprehensive visualization and management of your infrastructure resources. Metrics collected serve as the basis for the insights provided by these tools. After installing the CloudWatch Mule Integration, access to all dashboards and monitors becomes available on the CloudWatch page. DASHBOARDS: - Development: Optimizations. - Execs: Cost optimization. - Operations: APIs - Operations: Infrastructure. - Operations: Resources allocation and usage. MONITORS: - CloudHub and On-Premise. - Applications stopped. - CPU Load. - Memory usage. - On-Premise. - Servers stopped. - Application errors. - CloudHub. - Queue overload. Prerequisites Before using the dashboards, you must know the identifiers of the organization and environments. This will help to filter out the graphics in the dashboards as well as properly use the tags in the metrics. MuleSoft has documented this in the following articles: How to know my Organization ID (Org ID) on the Anypoint Platform https://help.mulesoft.com/s/article/How-to-know-my-Organization-ID-Org-ID-on- the-Anypoint-Platform How to get Anypoint platform organization details via Anypoint APIs https://help.mulesoft.com/s/article/How-to-get-Anypoint-platform- organization-details-via-Anypoint-APIs It's advisable to save custom views in dashboards requiring these identifiers for optimal visualization. Dashboards Find the assets on the CloudWatch Dashboards section: The Dashboard List should be like this one: Letâs review how they work. Execs: Cost Optimization This dashboard monitors the resources available and not available through time per organization, helping you to identify how are being used easily. The first section Application and Server failures shows critical and sensitive information about all the infrastructure: - Applications stopped time. - Applications stopped TOP 10 list. - Applications error On-Premise. - Applications errors On-Premise TOP 10 list. The next section presents the usage of the following resources: - vCores. - VPNs. - VPCs. - Static IPs. - Load Balancers. - Premium Connectors. - Object Store. The information is displayed as values with its own timeline graphic, showing the values through time: Those widgets work by selecting the time range and the right variables located at the top: Pro-tip : Configure the MuleSoft organization and environment identifiers and save the view.",datadog-mulesoft-docs,"datadog,mulesoft,documentation,connector,cloudwatch,dashboard",high
How do I configure CLOUDWATCH MULE INTEGRATION - System Architecture?,"CLOUDWATCH MULE INTEGRATION - System Architecture Note: NOVA was formerly known as IO Connect Services. URLs in this document still reference the ioconnectservices.com domain for technical compatibility. The CloudWatch Mule Integration is an agent-based integration. Pre-requisites NOVA API The CloudWatch Mule Integration does a license check via SSL and hence it requires outbound access to: - https://api.ioconnectservices.com/ - *Port: 443* On-prem Mule servers On-prem Mule servers must be registered in Anypoint Runtime Manager (ARM) to be able to collect data. The RM Agent comes in the /bin folder of the Mule runtime, then you can perform the command in CLI. See instructions in https://docs.mulesoft.com/runtime-manager/servers- create. Any server thatâs registered in a group or cluster in ARM must be able to gather metrics from those as well. Mule Networking pre-requisites In order for the agent to properly connect to ARM in Anypoint, specific network configuration must be allowed. All DNS names, ports and IPs needed to hook the agent are documented in https://docs.mulesoft.com/runtime- manager/rtm-agent-whitelists. CloudHub applications Given the cloud nature of applications deployed to CloudHub, all application and server metadata is intrinsically stored by default on Anypoint Control Plane. No special configuration is required other than the needed permissions in the connected app. Ports and Hostnames to whitelist The CloudWatch Mule Integration must have an internet connection on port 443 for outbound connections at least. In enterprises, itâs very common that all networks are behind a firewall to protect access. In many other cases, reverse proxies are used to protect outbound communications to restricted websites. Customers must configure rules in the firewall and proxies to ensure the communication to all NOVA Services, Anypoint and CloudWatch. NOVA networking requirements This is an outbound communication only and itâs initiated by the CloudWatch agent running on-premise. MuleSoft Anypoint networking requirements Communication from Mule servers, installed on-prem, must allow inbound and outbound connections to the following DNS names via port 443 (HTTPS) and 9999 (configurable websocket). Here is a full list of the FQDNs that need to be whitelisted. Pick the ones corresponding to the region to which you MuleSoft organization belongs to. - anypoint.mulesoft.com - eu1.anypoint.mulesoft.com - mule-manager.anypoint.mulesoft.com - mule-manager.eu1.anypoint.mulesoft.com - runtime-manager.anypoint.mulesoft.com - runtime-manager.eu1.anypoint.mulesoft.com - arm-auth-proxy.prod.cloudhub.io - arm-auth-proxy.prod-eu.msap.io - data-authenticator.anypoint.mulesoft.com - data-authenticator.eu1.anypoint.mulesoft.com - analytics-ingest.anypoint.mulesoft.com - analytics-ingest.eu1.anypoint.mulesoft.com - exchange2-asset-manager-kprod.s3.amazonaws.com - exchange2-asset-manager-kprod-eu.s3.eu-central-1.amazonaws.com Learn more about the MuleSoft Anypoint networking requisites in https://docs.mulesoft.com/runtime-manager/rtm-agent-whitelists CloudWatch networking requirements Communication from the CloudWatch agent is via port 443 (HTTPS). < OOTB Operations",datadog-mulesoft-docs,"datadog,mulesoft,documentation,configuration,cloudwatch,architecture",high
