question,answer,category,tags,priority
"How do I reset my password?","To reset your password: 1) Go to the login page 2) Click 'Forgot Password' 3) Enter your email address 4) Check your email for a reset link 5) Follow the instructions in the email to create a new password. If you don't receive the email within 5 minutes, check your spam folder.","account","password,reset,login",high
"What are your support hours?","Our support team is available Monday through Friday, 9 AM to 6 PM EST. For urgent issues outside business hours, you can create a support ticket through our portal and we'll respond within 24 hours.","support","hours,availability,contact",medium
"How do I upgrade my subscription?","To upgrade your subscription: 1) Log into your account 2) Navigate to 'Billing & Subscriptions' 3) Select 'Upgrade Plan' 4) Choose your desired plan 5) Update payment information if needed 6) Confirm the upgrade. Changes take effect immediately.","billing","upgrade,subscription,plan",high
"Can I get a refund?","We offer refunds within 30 days of purchase for annual subscriptions and within 7 days for monthly subscriptions. To request a refund, contact our support team with your order details. Refunds are processed within 5-7 business days.","billing","refund,money,cancel",high
"How do I download my data?","To download your data: 1) Go to Account Settings 2) Click 'Data Export' 3) Select the data types you want 4) Click 'Generate Export' 5) You'll receive an email when the export is ready. Exports are available for 48 hours after generation.","account","export,data,download",medium
"Is my data secure?","Yes, we take data security seriously. We use AES-256 encryption for data at rest and TLS 1.3 for data in transit. Our servers are hosted in SOC 2 compliant data centers with 24/7 monitoring. We never share your personal data with third parties without consent.","security","privacy,encryption,safety",high
"How do I integrate with third-party apps?","We support integrations through our REST API and webhooks. Visit our developer documentation at docs.example.com/api for detailed guides. Popular integrations include Slack, Microsoft Teams, and Salesforce. Contact support for custom integration assistance.","integration","api,webhook,third-party",medium
"What happens if I exceed my plan limits?","If you approach your plan limits, we'll send email notifications at 80% and 95% usage. If you exceed limits, your account won't be suspended but you'll be charged overage fees. Consider upgrading to avoid additional charges.","billing","limits,overage,usage",medium
"How do I cancel my subscription?","To cancel: 1) Log into your account 2) Go to 'Billing & Subscriptions' 3) Click 'Cancel Subscription' 4) Confirm cancellation 5) You'll retain access until your current billing period ends. No automatic refunds are issued for partial periods.","billing","cancel,subscription,terminate",high
"Can I change my email address?","Yes, to change your email: 1) Log into your account 2) Go to 'Account Settings' 3) Click 'Change Email' 4) Enter your new email address 5) Confirm via verification email sent to the new address. Update takes effect immediately after verification.","account","email,change,update",medium
"How do I add team members?","To add team members: 1) Go to 'Team Management' 2) Click 'Invite Member' 3) Enter their email address 4) Select their role and permissions 5) Click 'Send Invitation'. They'll receive an email to join your team workspace.","team","invite,member,collaboration",medium
"What browsers do you support?","We support the latest versions of Chrome, Firefox, Safari, and Edge. For the best experience, we recommend Chrome or Firefox. Internet Explorer is not supported. Mobile browsers on iOS Safari and Android Chrome are also supported.","technical","browser,compatibility,system",low
"How do I enable two-factor authentication?","To enable 2FA: 1) Go to 'Security Settings' 2) Click 'Enable Two-Factor Authentication' 3) Scan the QR code with your authenticator app 4) Enter the verification code 5) Save your backup codes in a secure location. 2FA is required for admin accounts.","security","2fa,authentication,security",high
"Can I customize my dashboard?","Yes, you can customize your dashboard by: 1) Clicking the 'Customize' button 2) Drag and drop widgets to rearrange 3) Add or remove widgets using the '+' button 4) Resize widgets by dragging corners 5) Save your layout. Changes are saved automatically.","interface","dashboard,customize,layout",low
"How do I export reports?","To export reports: 1) Navigate to the Reports section 2) Select your desired report 3) Choose date range and filters 4) Click 'Export' 5) Select format (PDF, CSV, Excel) 6) The report will be emailed to you or downloaded directly.","reporting","export,report,data",medium
