policy_name,description,applies_to,response_time,escalation_process,contact_method,availability
"Standard Email Support","Basic email support for general questions and non-urgent issues","All paid plans","Within 24 hours during business days","Auto-escalated after 48 hours without resolution","Email: support@novabot.com","Monday-Friday 9 AM - 6 PM EST"
"Priority Support","Expedited support for business-critical issues","Pro and Enterprise plans","Within 4 hours during business days, 8 hours on weekends","Auto-escalated after 12 hours, manual escalation available","Email: priority@novabot.com, Support portal","24/7 for Enterprise, Extended hours for Pro"
"Emergency Support","Immediate support for system-down or security incidents","Enterprise plans only","Within 1 hour, 24/7","Immediate escalation to engineering team","Phone: 1-800-NOVABOT, Dedicated Slack channel","24/7/365 with dedicated on-call team"
"Technical Integration Support","Specialized support for API and integration issues","Standard, Pro, and Enterprise plans","Within 8 hours during business days","Escalated to technical team after initial response","Email: integrations@novabot.com","Monday-Friday 8 AM - 8 PM EST"
"Account Management","Support for billing, subscription, and account-related inquiries","All plans including free trials","Within 12 hours during business days","Escalated to account management team","Email: billing@novabot.com, Support portal","Monday-Friday 9 AM - 5 PM EST"
"Security Incident Response","Response to security vulnerabilities and incidents","All plans","Within 2 hours for confirmed incidents","Immediate escalation to security team and management","Email: security@novabot.com, Emergency hotline","24/7 for security incidents"
"Feature Request Process","Process for submitting and tracking feature requests","All plans","Acknowledged within 5 business days","Reviewed monthly by product team, customers notified of status","Feature request portal, Email: features@novabot.com","Ongoing review process"
"Bug Report Process","Process for reporting and tracking software bugs","All plans","Within 24 hours for confirmation","Critical bugs escalated immediately, others prioritized by severity","Email: bugs@novabot.com, Support portal","Standard business hours with critical bug exceptions"
"Custom Development Support","Support for custom development and professional services","Enterprise plans with custom development","Within 24 hours, or per custom SLA","Escalated to dedicated project manager","Dedicated account manager, Project portal","Per custom agreement, typically business hours"
"Training and Onboarding Support","Support during initial setup and training periods","All paid plans during first 30 days","Within 4 hours during business days","Escalated to customer success team","Email: onboarding@novabot.com, Scheduled calls","Monday-Friday 9 AM - 6 PM EST"
"Knowledge Base Support","Support for knowledge base setup, optimization, and troubleshooting","Standard, Pro, and Enterprise plans","Within 8 hours during business days","Escalated to knowledge base specialists","Email: kb-support@novabot.com","Monday-Friday 9 AM - 6 PM EST"
"API Support","Technical support for API integration and usage","Plans with API access","Within 6 hours during business days","Escalated to API development team","Email: api-support@novabot.com, Developer portal","Monday-Friday 8 AM - 8 PM EST"
"Compliance Support","Support for compliance requirements (HIPAA, GDPR, etc.)","Enterprise plans with compliance add-ons","Within 24 hours","Escalated to compliance team and legal","Email: compliance@novabot.com","Monday-Friday 9 AM - 5 PM EST"
"Data Recovery Support","Support for data recovery and backup restoration","All paid plans","Within 4 hours for data loss incidents","Immediate escalation to data recovery team","Email: data-recovery@novabot.com, Emergency line","24/7 for data loss incidents"
"Third-Party Integration Support","Support for integrations with external services","Pro and Enterprise plans","Within 12 hours during business days","Escalated to integration specialists","Email: integrations@novabot.com","Monday-Friday 9 AM - 6 PM EST"
"Performance Optimization Support","Support for performance issues and optimization","All plans, priority based on plan level","Within 24 hours for paid plans","Escalated to performance engineering team","Email: performance@novabot.com","Standard business hours"
"Migration Support","Support for migrating from other chatbot platforms","All paid plans","Within 48 hours for initial consultation","Assigned to migration specialists","Email: migration@novabot.com, Consultation calls","Monday-Friday 9 AM - 5 PM EST"
"White-Label Support","Support for white-label and custom branding implementations","Enterprise plans only","Within 8 hours during business days","Escalated to custom solutions team","Dedicated account manager","Per custom agreement"
"Multi-Channel Support","Support for multi-channel deployments and configurations","Standard, Pro, and Enterprise plans","Within 12 hours during business days","Escalated to channel specialists","Email: channels@novabot.com","Monday-Friday 9 AM - 6 PM EST"
"Analytics Support","Support for analytics setup, custom reports, and data interpretation","Standard, Pro, and Enterprise plans","Within 24 hours during business days","Escalated to analytics team","Email: analytics@novabot.com","Monday-Friday 9 AM - 5 PM EST"
